Team,2020 FG Xp Percentage,2020 2pt Conversion Offensive Percentage,2020 2pt Conversion Defensive Percentage,
Arizona Cardinals,0.978,0,0,
Atlanta Falcons,0.895,0.33,0.5,
Baltimore Ravens,0.981,1,0.5,
Buffalo Bills,0.966,0,0.6667,
Carolina Panthers,0.917,0.5,0.3333,
Chicago Bears,0.973,0.6667,0,"*Did not attempt a 2 pt conversion in 2020, this data is from 2019"
Cincinnati Bengals,0.97,0.6667,0,
Cleveland Browns,0.896,1,0.5,
Dallas Cowboys,0.917,0.6667,0.5,
Denver Broncos,0.833,0.4,0.33,
Detroit Lions,0.927,0.5,0.8333,
Green Bay Packers,0.937,0.3333,1,
Houston Texans,0.925,0.25,0.75,
Indianapolis Colts,0.956,0.5714,1,
Jacksonville Jaguars,0.857,0.3333,0.5,
Kansas City Chiefs,0.889,1,0.2,
Las Vegas Raiders,0.957,1,0.6667,
Los Angeles Chargers,0.923,0.4,0.6,
Los Angeles Rams,0.905,1,0,
Miami Dolphins,1,0.6667,0.8,"*Did not face a 2pt conversion attempt in 2020, this data is from 2019"
Minnesota Vikings,0.86,0.6667,0.4286,
New England Patriots,0.909,0.3333,1,
New Orleans Saints,0.983,0,0.5,
New York Giants,0.913,0.5,0.1429,
New York Jets,0.833,0.5,0,
Philadelphia Eagles,0.923,0.375,0.5,"*Did not face a 2pt conversion attempt in 2020, this data is from 2019"
Pittsburgh Steelers,0.911,0.375,0.6667,
San Francisco 49ers,0.95,0,0.5,
Seattle Seahawks,0.925,0.5,0.3333,
Tampa Bay Buccaneers,0.912,0,0.2,
Tennessee Titans,0.962,0.5714,0.125,
Washington Football Team,0.938,0.1429,0,
