s,a,r,s′
State(102),kick,1.0,State(0)
State(6),two,2.681,State(6)
State(102),kick,1.0,State(6)
State(102),kick,1.0,State(-1)
State(102),kick,1.0,State(-1)
State(102),kick,1.0,State(-8)
State(-2),kick,0.5,State(-1)
State(102),kick,1.0,State(-1)
State(102),kick,1.0,State(-1)
State(102),kick,1.0,State(-1)
State(5),two,2.866,State(5)
State(11),two,1.921,State(13)
State(100),kick,10.003,State(102)
State(102),kick,1.0,State(0)
State(102),kick,1.0,State(0)
State(6),two,2.681,State(6)
State(102),kick,1.0,State(6)
State(102),kick,1.0,State(6)
State(102),kick,1.0,State(6)
State(102),kick,1.0,State(6)
State(12),two,1.797,State(12)
State(102),kick,1.0,State(5)
State(11),two,1.921,State(11)
State(17),two,1.288,State(17)
State(102),kick,1.0,State(17)
State(100),kick,10.003,State(102)
State(102),kick,1.0,State(-7)
State(-1),two,2.0,State(-1)
State(102),kick,1.0,State(-8)
State(102),kick,1.0,State(-15)
State(102),kick,1.0,State(-15)
State(-9),kick,0.111,State(-8)
State(-2),kick,0.5,State(-1)
State(102),kick,1.0,State(-1)
State(102),kick,1.0,State(-1)
State(102),kick,1.0,State(-8)
State(-2),kick,0.5,State(-1)
State(5),two,2.866,State(7)
State(100),kick,10.003,State(102)
State(102),kick,1.0,State(0)
State(102),kick,1.0,State(-7)
State(102),kick,1.0,State(-14)
State(102),kick,1.0,State(-14)
State(102),kick,1.0,State(-14)
State(-8),two,2.0,State(-8)
State(-2),kick,0.5,State(-1)
State(102),kick,1.0,State(-1)
State(102),kick,1.0,State(-1)
State(102),kick,1.0,State(-1)
State(102),kick,1.0,State(-8)
State(102),kick,1.0,State(-15)
State(101),kick,-9.998,State(102)
State(6),two,2.681,State(6)
State(102),kick,1.0,State(6)
State(102),kick,1.0,State(-1)
State(5),two,2.866,State(7)
State(13),two,1.681,State(13)
State(102),kick,1.0,State(6)
State(12),two,1.797,State(14)
State(20),two,1.054,State(20)
State(102),kick,1.0,State(20)
State(26),two,0.707,State(26)
State(102),kick,1.0,State(26)
State(102),kick,1.0,State(26)
State(100),kick,10.003,State(102)
State(102),kick,1.0,State(0)
State(6),two,2.681,State(6)
State(102),kick,1.0,State(6)
State(102),kick,1.0,State(6)
State(102),kick,1.0,State(-1)
State(102),kick,1.0,State(-8)
State(102),kick,1.0,State(-15)
State(-9),kick,0.111,State(-8)
State(102),kick,1.0,State(-8)
State(-2),kick,0.5,State(-1)
State(102),kick,1.0,State(-1)
State(5),two,2.866,State(5)
State(100),kick,10.003,State(102)
State(6),two,2.681,State(8)
State(102),kick,1.0,State(1)
State(102),kick,1.0,State(1)
State(102),kick,1.0,State(1)
State(102),kick,1.0,State(1)
State(7),two,2.508,State(7)
State(13),two,1.681,State(13)
State(102),kick,1.0,State(6)
State(102),kick,1.0,State(6)
State(12),two,1.797,State(12)
State(102),kick,1.0,State(5)
State(102),kick,1.0,State(-2)
State(101),kick,-9.998,State(102)
State(6),two,2.681,State(6)
State(102),kick,1.0,State(6)
State(102),kick,1.0,State(6)
State(12),two,1.797,State(14)
State(102),kick,1.0,State(14)
State(102),kick,1.0,State(14)
State(102),kick,1.0,State(14)
State(102),kick,1.0,State(7)
State(102),kick,1.0,State(0)
State(102),kick,1.0,State(0)
State(6),two,2.681,State(6)
State(102),kick,1.0,State(6)
State(100),kick,10.003,State(102)
State(6),two,2.681,State(6)
State(102),kick,1.0,State(-1)
State(102),kick,1.0,State(-8)
State(102),kick,1.0,State(-8)
